,expr_name,date,p1,p2,self_play,exp_dir,epochs,p1_win_rate,p2_win_rate,is_test
0,date-06-19-2025-10-38p1-RLbotp2-RLbotself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.0p2_win_rate-1.0is_test-False,06-19-2025-10-38,RLbot,RLbot,False,RLbot,50,0.0,1.0,False
0,date-06-19-2025-10-42p1-RLbotp2-RLbotself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.0p2_win_rate-1.0is_test-False,06-19-2025-10-42,RLbot,RLbot,False,RLbot,50,0.0,1.0,False
0,date-06-19-2025-10-43p1-RLbotp2-RLbotself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.0p2_win_rate-1.0is_test-False,06-19-2025-10-43,RLbot,RLbot,False,RLbot,50,0.0,1.0,False
0,date-06-19-2025-10-44p1-RLbotp2-RLbotself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.14p2_win_rate-0.86is_test-False,06-19-2025-10-44,RLbot,RLbot,False,RLbot,50,0.14,0.86,False
0,date-06-19-2025-10-44p1-RLbotp2-RLbotself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.78p2_win_rate-0.22is_test-False,06-19-2025-10-44,RLbot,RLbot,False,RLbot,50,0.78,0.22,False
0,date-06-19-2025-10-53p1-RLbotp2-RLbotself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.0p2_win_rate-1.0is_test-False,06-19-2025-10-53,RLbot,RLbot,False,RLbot,50,0.0,1.0,False
0,date-06-19-2025-11-19p1-RLbotp2-RLbotself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.0p2_win_rate-1.0is_test-False,06-19-2025-11-19,RLbot,RLbot,False,RLbot,50,0.0,1.0,False
0,date-06-19-2025-11-20p1-RLbotp2-RLbotself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.04p2_win_rate-0.96is_test-False,06-19-2025-11-20,RLbot,RLbot,False,RLbot,50,0.04,0.96,False
0,date-06-19-2025-11-20p1-RLbotp2-RLbotself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.0p2_win_rate-1.0is_test-False,06-19-2025-11-20,RLbot,RLbot,False,RLbot,50,0.0,1.0,False
0,date-06-19-2025-11-20p1-RLbotp2-RLbotself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.03p2_win_rate-0.97is_test-False,06-19-2025-11-20,RLbot,RLbot,False,RLbot,50,0.03,0.97,False
0,date-06-19-2025-11-21p1-RLbotp2-RLbotself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.0p2_win_rate-1.0is_test-False,06-19-2025-11-21,RLbot,RLbot,False,RLbot,50,0.0,1.0,False
0,date-06-19-2025-11-21p1-RLbotp2-RLbotself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.02p2_win_rate-0.98is_test-False,06-19-2025-11-21,RLbot,RLbot,False,RLbot,50,0.02,0.98,False
0,date-06-19-2025-11-21p1-RLbotp2-RLbotself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.03p2_win_rate-0.97is_test-False,06-19-2025-11-21,RLbot,RLbot,False,RLbot,50,0.03,0.97,False
0,date-06-19-2025-15-16p1-RLbotp2-RLbotself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.03p2_win_rate-0.97is_test-False,06-19-2025-15-16,RLbot,RLbot,False,RLbot,50,0.03,0.97,False
0,date-06-19-2025-15-16p1-RLbotp2-RLbotself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.0p2_win_rate-1.0is_test-False,06-19-2025-15-16,RLbot,RLbot,False,RLbot,50,0.0,1.0,False
0,date-06-19-2025-15-17p1-RLbotp2-RLbotself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.0p2_win_rate-1.0is_test-False,06-19-2025-15-17,RLbot,RLbot,False,RLbot,50,0.0,1.0,False
0,date-06-19-2025-15-17p1-RLbotp2-RLbotself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.06p2_win_rate-0.94is_test-False,06-19-2025-15-17,RLbot,RLbot,False,RLbot,50,0.06,0.94,False
0,date-06-19-2025-15-23p1-RLbotp2-RLbotDDQNself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.04p2_win_rate-0.96is_test-False,06-19-2025-15-23,RLbot,RLbotDDQN,False,RLbot,50,0.04,0.96,False
0,date-06-19-2025-15-24p1-RLbotp2-RLbotDDQNself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.18p2_win_rate-0.82is_test-False,06-19-2025-15-24,RLbot,RLbotDDQN,False,RLbot,50,0.18,0.82,False
0,date-06-19-2025-15-25p1-RLbotp2-RLbotDDQNself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.0p2_win_rate-1.0is_test-False,06-19-2025-15-25,RLbot,RLbotDDQN,False,RLbot,50,0.0,1.0,False
0,date-06-19-2025-15-26p1-RLbotp2-RLbotDDQNself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.0p2_win_rate-1.0is_test-False,06-19-2025-15-26,RLbot,RLbotDDQN,False,RLbot,50,0.0,1.0,False
0,date-06-19-2025-15-27p1-RLbotp2-RLbotDDQNself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.04p2_win_rate-0.96is_test-False,06-19-2025-15-27,RLbot,RLbotDDQN,False,RLbot,50,0.04,0.96,False
0,date-06-19-2025-15-28p1-RLbotp2-RLbotDDQNself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.22p2_win_rate-0.78is_test-False,06-19-2025-15-28,RLbot,RLbotDDQN,False,RLbot,50,0.22,0.78,False
0,date-06-19-2025-15-29p1-RLbotp2-RLbotDDQNself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.02p2_win_rate-0.98is_test-False,06-19-2025-15-29,RLbot,RLbotDDQN,False,RLbot,50,0.02,0.98,False
0,date-06-19-2025-15-32p1-RLbotp2-RLbotDDQNself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.0p2_win_rate-1.0is_test-False,06-19-2025-15-32,RLbot,RLbotDDQN,False,RLbot,50,0.0,1.0,False
0,date-06-19-2025-15-32p1-RLbotp2-RLbotDDQNself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.04p2_win_rate-0.96is_test-False,06-19-2025-15-32,RLbot,RLbotDDQN,False,RLbot,50,0.04,0.96,False
0,date-06-19-2025-15-33p1-RLbotp2-RLbotDDQNself_play-Falseexp_dir-RLbotepochs-50p1_win_rate-0.04p2_win_rate-0.96is_test-False,06-19-2025-15-33,RLbot,RLbotDDQN,False,RLbot,50,0.04,0.96,False
0,date-06-19-2025-16-37p1-RLbotp2-RLbotDDQNself_play-Trueexp_dir-RLbotepochs-50p1_win_rate-0.0p2_win_rate-1.0is_test-False,06-19-2025-16-37,RLbot,RLbotDDQN,True,RLbot,50,0.0,1.0,False
0,date-06-19-2025-16-38p1-RLbotp2-RLbotDDQNself_play-Trueexp_dir-RLbotepochs-50p1_win_rate-0.03p2_win_rate-0.97is_test-False,06-19-2025-16-38,RLbot,RLbotDDQN,True,RLbot,50,0.03,0.97,False
0,date-06-19-2025-16-44p1-RLbotp2-RLbotDDQNself_play-Trueexp_dir-RLbotepochs-50p1_win_rate-0.0p2_win_rate-1.0is_test-False,06-19-2025-16-44,RLbot,RLbotDDQN,True,RLbot,50,0.0,1.0,False
0,date-06-19-2025-16-45p1-RLbotp2-RLbotDDQNself_play-Trueexp_dir-RLbotepochs-50p1_win_rate-0.0p2_win_rate-1.0is_test-False,06-19-2025-16-45,RLbot,RLbotDDQN,True,RLbot,50,0.0,1.0,False
0,date-06-19-2025-16-58p1-RLbotp2-RLbotDDQNself_play-Trueexp_dir-RLbotepochs-50p1_win_rate-0.06p2_win_rate-0.94is_test-False,06-19-2025-16-58,RLbot,RLbotDDQN,True,RLbot,50,0.06,0.94,False
0,date-06-19-2025-17-00p1-RLbotp2-RLbotDDQNself_play-Trueexp_dir-RLbotepochs-50p1_win_rate-0.17p2_win_rate-0.83is_test-False,06-19-2025-17-00,RLbot,RLbotDDQN,True,RLbot,50,0.17,0.83,False
0,date-06-19-2025-17-02p1-RLbotp2-RLbotDDQNself_play-Trueexp_dir-RLbotepochs-50p1_win_rate-0.04p2_win_rate-0.96is_test-False,06-19-2025-17-02,RLbot,RLbotDDQN,True,RLbot,50,0.04,0.96,False
0,date-06-19-2025-17-07p1-RLbotp2-RLbotDDQNself_play-Trueexp_dir-RLbotepochs-50p1_win_rate-0.03p2_win_rate-0.97is_test-False,06-19-2025-17-07,RLbot,RLbotDDQN,True,RLbot,50,0.03,0.97,False
0,date-06-19-2025-17-10p1-RLbotp2-RLbotDDQNself_play-Trueexp_dir-RLbotepochs-50p1_win_rate-0.27p2_win_rate-0.73is_test-False,06-19-2025-17-10,RLbot,RLbotDDQN,True,RLbot,50,0.27,0.73,False
0,date-06-19-2025-20-08p1-RLbotp2-RLbotDDQNself_play-Trueexp_dir-RLbotepochs-50p1_win_rate-0.38p2_win_rate-0.62is_test-False,06-19-2025-20-08,RLbot,RLbotDDQN,True,RLbot,50,0.38,0.62,False
0,date-06-19-2025-20-15p1-RLbotp2-RLbotDDQNself_play-Trueexp_dir-RLbotepochs-50p1_win_rate-0.54p2_win_rate-0.46is_test-False,06-19-2025-20-15,RLbot,RLbotDDQN,True,RLbot,50,0.54,0.46,False
0,date-06-19-2025-20-16p1-RLbotp2-RLbotDDQNself_play-Trueexp_dir-RLbotepochs-50p1_win_rate-0.54p2_win_rate-0.46is_test-False,06-19-2025-20-16,RLbot,RLbotDDQN,True,RLbot,50,0.54,0.46,False
